subject_id,object_id,subject_id_prefix,object_id_prefix,subject_name,object_name,predicate,Primary_Knowledge_Source,Knowledge_Source,publications,subject_category,object_category
5571,P54619,NCBIGene,UNIPROT,PRKAG1,AAKG1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
51422,Q9UGJ0,NCBIGene,UNIPROT,PRKAG2,AAKG2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
53632,Q9UGI9,NCBIGene,UNIPROT,PRKAG3,AAKG3_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
28971,Q9H7C9,NCBIGene,UNIPROT,AAMDC,AAMDC_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
14,Q13685,NCBIGene,UNIPROT,AAMP,AAMP_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5562,Q13131,NCBIGene,UNIPROT,PRKAA1,AAPK1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5563,P54646,NCBIGene,UNIPROT,PRKAA2,AAPK2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
25980,Q9Y312,NCBIGene,UNIPROT,AAR2,AAR2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
441376,Q4LEZ3,NCBIGene,UNIPROT,AARD,AARD_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
100885850,Q9BTE6,NCBIGene,UNIPROT,PTGES3L-AARSD1,AASD1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
80755,Q9BTE6,NCBIGene,UNIPROT,AARSD1,AASD1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10157,Q9UDR5,NCBIGene,UNIPROT,AASS,AASS_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
137362,Q8NHS2,NCBIGene,UNIPROT,GOT1L1,AATC2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
2805,P17174,NCBIGene,UNIPROT,GOT1,AATC_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
26574,Q9NY61,NCBIGene,UNIPROT,AATF,AATF_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
2806,P00505,NCBIGene,UNIPROT,GOT2,AATM_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
145447,Q7Z5M8,NCBIGene,UNIPROT,ABHD12B,AB12B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
81926,Q96GS6,NCBIGene,UNIPROT,ABHD17A,AB17A_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
51104,Q5VST6,NCBIGene,UNIPROT,ABHD17B,AB17B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
58489,Q6PCB6,NCBIGene,UNIPROT,ABHD17C,AB17C_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
54518,Q7Z5R6,NCBIGene,UNIPROT,APBB1IP,AB1IP_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
100913187,P31941,NCBIGene,UNIPROT,APOBEC3A_B,ABC3A_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
200315,P31941,NCBIGene,UNIPROT,APOBEC3A,ABC3A_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
9582,Q9UH17,NCBIGene,UNIPROT,APOBEC3B,ABC3B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
27350,Q9NRW3,NCBIGene,UNIPROT,APOBEC3C,ABC3C_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
