index,name,uniprot,gene_name,outlier_frequency_in_diabetes,outlier_frequency_in_pre_diab
CRE_P05412,CRE_P05412,P05412,JUN,0.0,0.0
CRE_P08237,CRE_P08237,P08237,PFKM,0.0,0.0
CRE_P09758,CRE_P09758,P09758,TACSTD2,0.0,0.0
CRE_P0CG37,CRE_P0CG37,P0CG37,CFC1,0.0,0.0
CRE_P11274,CRE_P11274,P11274,BCR,0.0,0.0
CRE_P15848,CRE_P15848,P15848,ARSB,0.0,0.0
CRE_P16562,CRE_P16562,P16562,CRISP2,0.0,0.0
CRE_P21810,CRE_P21810,P21810,BGN,0.0,0.0
CRE_P22681,CRE_P22681,P22681,CBL,0.0,0.0
CRE_P23515,CRE_P23515,P23515,OMG,0.0,0.0
CRE_P25685,CRE_P25685,P25685,DNAJB1,0.0,0.0
CRE_P30041,CRE_P30041,P30041,PRDX6,0.0,0.0
CRE_P47929,CRE_P47929,P47929,"LGALS7,LGALS7B",0.0,0.0
CRE_P52564,CRE_P52564,P52564,MAP2K6,0.0,0.0
CRE_P57771,CRE_P57771,P57771,RGS8,0.0,0.0
CRE_P58294,CRE_P58294,P58294,PROK1,0.0,0.0
CRE_Q01543,CRE_Q01543,Q01543,FLI1,0.0,0.0
CRE_Q02742,CRE_Q02742,Q02742,GCNT1,0.0,0.0
CRE_Q05516,CRE_Q05516,Q05516,ZBTB16,0.0,0.0
CRE_Q06520,CRE_Q06520,Q06520,SULT2A1,0.0,0.0
CRE_Q07960,CRE_Q07960,Q07960,ARHGAP1,0.0,0.0
CRE_Q10471,CRE_Q10471,Q10471,GALNT2,0.0,0.0
CRE_Q12912,CRE_Q12912,Q12912,LRMP,0.0,0.0
CRE_Q13105,CRE_Q13105,Q13105,ZBTB17,0.0,0.0
CRE_Q13561,CRE_Q13561,Q13561,DCTN2,0.0,0.0
CRE_Q13576,CRE_Q13576,Q13576,IQGAP2,0.0,0.0
CRE_Q16653,CRE_Q16653,Q16653,MOG,0.0,0.0
CRE_Q49AH0,CRE_Q49AH0,Q49AH0,CDNF,0.0,0.0
CRE_Q6UB28,CRE_Q6UB28,Q6UB28,METAP1D,0.0,0.0
CRE_Q6UXD5,CRE_Q6UXD5,Q6UXD5,SEZ6L2,0.0,0.0
CRE_Q6UXK5,CRE_Q6UXK5,Q6UXK5,LRRN1,0.0,0.0
CRE_Q7Z5A7,CRE_Q7Z5A7,Q7Z5A7,FAM19A5,0.0,0.0
CRE_Q7Z5R6,CRE_Q7Z5R6,Q7Z5R6,APBB1IP,0.0,0.0
CRE_Q86SJ2,CRE_Q86SJ2,Q86SJ2,AMIGO2,0.0,0.0
CRE_Q86WV1,CRE_Q86WV1,Q86WV1,SKAP1,0.0,0.0
CRE_Q8N2G4,CRE_Q8N2G4,Q8N2G4,LYPD1,0.0,0.0
CRE_Q8N5S9,CRE_Q8N5S9,Q8N5S9,CAMKK1,0.0,0.0
CRE_Q8TD06,CRE_Q8TD06,Q8TD06,AGR3,0.0,0.0
CRE_Q8WYN0,CRE_Q8WYN0,Q8WYN0,ATG4A,0.0,0.0
CRE_Q92558,CRE_Q92558,Q92558,WASF1,0.0,0.0
CRE_Q92982,CRE_Q92982,Q92982,NINJ1,0.0,0.0
CRE_Q969V3,CRE_Q969V3,Q969V3,NCLN,0.0,0.0
CRE_Q96I82,CRE_Q96I82,Q96I82,KAZALD1,0.0,0.0
CRE_Q96LC7,CRE_Q96LC7,Q96LC7,SIGLEC10,0.0,0.0
CRE_Q96PD2,CRE_Q96PD2,Q96PD2,DCBLD2,0.0,0.0
CRE_Q96PQ0,CRE_Q96PQ0,Q96PQ0,SORCS2,0.0,0.0
CRE_Q96SM3,CRE_Q96SM3,Q96SM3,CPXM1,0.0,0.0
CRE_Q9BQT9,CRE_Q9BQT9,Q9BQT9,CLSTN3,0.0,0.0
CRE_Q9BWV1,CRE_Q9BWV1,Q9BWV1,BOC,0.0,0.0
CRE_Q9C0C4,CRE_Q9C0C4,Q9C0C4,SEMA4C,0.0,0.0
CRE_Q9H156,CRE_Q9H156,Q9H156,SLITRK2,0.0,0.0
CRE_Q9H5Y7,CRE_Q9H5Y7,Q9H5Y7,SLITRK6,0.0,0.0
CRE_Q9HCU5,CRE_Q9HCU5,Q9HCU5,PREB,0.0,0.0
CRE_Q9NRM6,CRE_Q9NRM6,Q9NRM6,IL17RB,0.0,0.0
CRE_Q9NS71,CRE_Q9NS71,Q9NS71,GKN1,0.0,0.0
CRE_Q9NSA1,CRE_Q9NSA1,Q9NSA1,FGF21,0.0,0.0
CRE_Q9NX58,CRE_Q9NX58,Q9NX58,LYAR,0.0,0.0
CRE_Q9NZ53,CRE_Q9NZ53,Q9NZ53,PODXL2,0.0,0.0
CRE_Q9NZN5,CRE_Q9NZN5,Q9NZN5,ARHGEF12,0.0,0.0
CRE_Q9P0V8,CRE_Q9P0V8,Q9P0V8,SLAMF8,0.0,0.0
CRE_Q9UBG0,CRE_Q9UBG0,Q9UBG0,MRC2,0.0,0.0
CRE_Q9UBM4,CRE_Q9UBM4,Q9UBM4,OPTC,0.0,0.0
CRE_Q9UK85,CRE_Q9UK85,Q9UK85,DKKL1,0.0,0.0
CRE_Q9UKR0,CRE_Q9UKR0,Q9UKR0,KLK12,0.0,0.0
CRE_Q9UPY6,CRE_Q9UPY6,Q9UPY6,WASF3,0.0,0.0
CRE_Q9Y2W6,CRE_Q9Y2W6,Q9Y2W6,TDRKH,0.0,0.0
CRE_Q9Y662,CRE_Q9Y662,Q9Y662,HS3ST3B1,0.0,0.0
CRE_Q9Y6A5,CRE_Q9Y6A5,Q9Y6A5,TACC3,0.0,0.0
CVD2_O00182,CVD2_O00182,O00182,LGALS9,0.04201680672268908,0.03225806451612903
CVD2_O00220,CVD2_O00220,O00220,TNFRSF10A,0.15966386554621848,0.13978494623655913
CVD2_O00253,CVD2_O00253,O00253,AGRP,0.008403361344537815,0.010752688172043012
CVD2_O14763,CVD2_O14763,O14763,TNFRSF10B,0.12605042016806722,0.11827956989247312
CVD2_O14836,CVD2_O14836,O14836,TNFRSF13B,0.03361344537815126,0.0
CVD2_O43915,CVD2_O43915,O43915,FIGF,0.0,0.0
CVD2_O94907,CVD2_O94907,O94907,DKK1,0.03361344537815126,0.021505376344086023
CVD2_P00797,CVD2_P00797,P00797,REN,0.16806722689075632,0.17204301075268819
CVD2_P01127,CVD2_P01127,P01127,PDGFB,0.008403361344537815,0.0
CVD2_P01241,CVD2_P01241,P01241,GH1,0.0,0.0
CVD2_P01730,CVD2_P01730,P01730,CD4,0.10084033613445378,0.021505376344086023
CVD2_P01833,CVD2_P01833,P01833,PIGR,0.01680672268907563,0.043010752688172046
CVD2_P02760,CVD2_P02760,P02760,AMBP,0.08403361344537816,0.021505376344086023
CVD2_P04179,CVD2_P04179,P04179,SOD2,0.025210084033613446,0.0
CVD2_P04792,CVD2_P04792,P04792,HSPB1,0.025210084033613446,0.010752688172043012
CVD2_P05231,CVD2_P05231,P05231,IL6,0.16806722689075632,0.11827956989247312
CVD2_P06858,CVD2_P06858,P06858,LPL,0.0,0.0
CVD2_P07204,CVD2_P07204,P07204,THBD,0.025210084033613446,0.021505376344086023
CVD2_P07585,CVD2_P07585,P07585,DCN,0.03361344537815126,0.021505376344086023
CVD2_P07711,CVD2_P07711,P07711,CTSL,0.05042016806722689,0.03225806451612903
CVD2_P09237,CVD2_P09237,P09237,MMP7,0.058823529411764705,0.021505376344086023
CVD2_P09341,CVD2_P09341,P09341,CXCL1,0.01680672268907563,0.0
CVD2_P09601,CVD2_P09601,P09601,HMOX1,0.0,0.010752688172043012
CVD2_P09874,CVD2_P09874,P09874,PARP1,0.09243697478991597,0.043010752688172046
CVD2_P10147,CVD2_P10147,P10147,CCL3,0.12605042016806722,0.12903225806451613
CVD2_P12104,CVD2_P12104,P12104,FABP2,0.03361344537815126,0.03225806451612903
CVD2_P12931,CVD2_P12931,P12931,SRC,0.025210084033613446,0.010752688172043012
CVD2_P13726,CVD2_P13726,P13726,F3,0.04201680672268908,0.010752688172043012
CVD2_P16860,CVD2_P16860,P16860,NPPB,0.08403361344537816,0.07526881720430108
CVD2_P18510,CVD2_P18510,P18510,IL1RN,0.226890756302521,0.08602150537634409
CVD2_P19883,CVD2_P19883,P19883,FST,0.15126050420168066,0.010752688172043012
CVD2_P21583,CVD2_P21583,P21583,KITLG,0.0,0.0
CVD2_P21980,CVD2_P21980,P21980,TGM2,0.01680672268907563,0.0
CVD2_P22004,CVD2_P22004,P22004,BMP6,0.06722689075630252,0.021505376344086023
CVD2_P24394,CVD2_P24394,P24394,IL4R,0.08403361344537816,0.03225806451612903
CVD2_P25116,CVD2_P25116,P25116,F2R,0.008403361344537815,0.0
CVD2_P26022,CVD2_P26022,P26022,PTX3,0.008403361344537815,0.010752688172043012
CVD2_P27352,CVD2_P27352,P27352,GIF,0.06722689075630252,0.021505376344086023
CVD2_P29965,CVD2_P29965,P29965,CD40LG,0.01680672268907563,0.0
CVD2_P31994,CVD2_P31994,P31994,FCGR2B,0.0,0.0
CVD2_P31997,CVD2_P31997,P31997,CEACAM8,0.058823529411764705,0.053763440860215055
CVD2_P35218,CVD2_P35218,P35218,CA5A,0.16806722689075632,0.15053763440860216
CVD2_P35318,CVD2_P35318,P35318,ADM,0.03361344537815126,0.010752688172043012
CVD2_P35442,CVD2_P35442,P35442,THBS2,0.21008403361344538,0.07526881720430108
CVD2_P35475,CVD2_P35475,P35475,IDUA,0.025210084033613446,0.021505376344086023
CVD2_P39900,CVD2_P39900,P39900,MMP12,0.12605042016806722,0.043010752688172046
CVD2_P40225,CVD2_P40225,P40225,THPO,0.01680672268907563,0.021505376344086023
CVD2_P41159,CVD2_P41159,P41159,LEP,0.0,0.0
CVD2_P47992,CVD2_P47992,P47992,XCL1,0.07563025210084033,0.03225806451612903
CVD2_P49763,CVD2_P49763,P49763,PGF,0.07563025210084033,0.043010752688172046
CVD2_P51161,CVD2_P51161,P51161,FABP6,0.04201680672268908,0.03225806451612903
CVD2_P51888,CVD2_P51888,P51888,PRELP,0.08403361344537816,0.021505376344086023
CVD2_P78380,CVD2_P78380,P78380,OLR1,0.08403361344537816,0.021505376344086023
CVD2_Q02763,CVD2_Q02763,Q02763,TEK,0.07563025210084033,0.053763440860215055
CVD2_Q04760,CVD2_Q04760,Q04760,GLO1,0.05042016806722689,0.021505376344086023
CVD2_Q12866,CVD2_Q12866,Q12866,MERTK,0.05042016806722689,0.043010752688172046
CVD2_Q13043,CVD2_Q13043,Q13043,STK4,0.01680672268907563,0.010752688172043012
CVD2_Q13219,CVD2_Q13219,Q13219,PAPPA,0.05042016806722689,0.03225806451612903
CVD2_Q14005,CVD2_Q14005,Q14005,IL16,0.09243697478991597,0.053763440860215055
CVD2_Q14116,CVD2_Q14116,Q14116,IL18,0.04201680672268908,0.053763440860215055
CVD2_Q14242,CVD2_Q14242,Q14242,SELPLG,0.09243697478991597,0.07526881720430108
CVD2_Q15109,CVD2_Q15109,Q15109,AGER,0.0,0.010752688172043012
CVD2_Q15389,CVD2_Q15389,Q15389,ANGPT1,0.0,0.010752688172043012
CVD2_Q16651,CVD2_Q16651,Q16651,PRSS8,0.08403361344537816,0.043010752688172046
CVD2_Q16698,CVD2_Q16698,Q16698,DECR1,0.025210084033613446,0.0
CVD2_Q76LX8,CVD2_Q76LX8,Q76LX8,ADAMTS13,0.05042016806722689,0.0
CVD2_Q8IW75,CVD2_Q8IW75,Q8IW75,SERPINA12,0.12605042016806722,0.15053763440860216
CVD2_Q8IYS5,CVD2_Q8IYS5,Q8IYS5,OSCAR,0.008403361344537815,0.010752688172043012
"CVD2_Q8NEV9,Q14213","CVD2_Q8NEV9,Q14213","Q8NEV9,Q14213","IL27,EBI3",0.01680672268907563,0.021505376344086023
CVD2_Q8TAD2,CVD2_Q8TAD2,Q8TAD2,IL17D,0.01680672268907563,0.03225806451612903
CVD2_Q92583,CVD2_Q92583,Q92583,CCL17,0.025210084033613446,0.0
CVD2_Q96D42,CVD2_Q96D42,Q96D42,HAVCR1,0.21008403361344538,0.053763440860215055
CVD2_Q96IQ7,CVD2_Q96IQ7,Q96IQ7,VSIG2,0.09243697478991597,0.0967741935483871
CVD2_Q99075,CVD2_Q99075,Q99075,HBEGF,0.05042016806722689,0.010752688172043012
CVD2_Q99523,CVD2_Q99523,Q99523,SORT1,0.04201680672268908,0.03225806451612903
CVD2_Q99895,CVD2_Q99895,Q99895,CTRC,0.008403361344537815,0.0
CVD2_Q9BQ51,CVD2_Q9BQ51,Q9BQ51,PDCD1LG2,0.05042016806722689,0.06451612903225806
CVD2_Q9BQR3,CVD2_Q9BQR3,Q9BQR3,PRSS27,0.01680672268907563,0.010752688172043012
CVD2_Q9BUD6,CVD2_Q9BUD6,Q9BUD6,SPON2,0.058823529411764705,0.03225806451612903
CVD2_Q9BWV1,CVD2_Q9BWV1,Q9BWV1,BOC,0.03361344537815126,0.021505376344086023
CVD2_Q9BYF1,CVD2_Q9BYF1,Q9BYF1,ACE2,0.21008403361344538,0.13978494623655913
CVD2_Q9GZV9,CVD2_Q9GZV9,Q9GZV9,FGF23,0.14285714285714285,0.16129032258064516
CVD2_Q9HB29,CVD2_Q9HB29,Q9HB29,IL1RL2,0.03361344537815126,0.010752688172043012
CVD2_Q9NQ25,CVD2_Q9NQ25,Q9NQ25,SLAMF7,0.1092436974789916,0.053763440860215055
CVD2_Q9NSA1,CVD2_Q9NSA1,Q9NSA1,FGF21,0.11764705882352941,0.08602150537634409
CVD2_Q9UEW3,CVD2_Q9UEW3,Q9UEW3,MARCO,0.06722689075630252,0.021505376344086023
CVD2_Q9UIB8,CVD2_Q9UIB8,Q9UIB8,CD84,0.01680672268907563,0.010752688172043012
CVD2_Q9UJM8,CVD2_Q9UJM8,Q9UJM8,HAO1,0.2184873949579832,0.10752688172043011
CVD2_Q9UK05,CVD2_Q9UK05,Q9UK05,GDF2,0.04201680672268908,0.010752688172043012
CVD2_Q9UKP3,CVD2_Q9UKP3,Q9UKP3,ITGB1BP2,0.01680672268907563,0.010752688172043012
CVD2_Q9Y6K9,CVD2_Q9Y6K9,Q9Y6K9,IKBKG,0.008403361344537815,0.0
